Outcode,Postcode,Number_meters,Total_consumption_kwh,Mean_consumption_kwh,Median_consumption_kwh
AB,"AB11 7XZ",8,133280,16660.03,17889.5
AB,"AB11 7YZ",13,160267,12328.21,12272.38
AB,"AB11 8AB",29,239340,8253.1,5420.91
AB,"AB11 8AD",76,465961,6131.06,5308.79
AB,"AB11 8BJ",21,254691,12128.12,11700.75
AB,"AB11 8BL",21,166631,7934.81,7818.52
AB,"AB11 8BN",19,178423,9390.67,6077.62
AB,"AB11 8BP",19,197173,10377.52,8091.66
AB,"AB11 8BQ",21,205281,9775.27,9123.74
AB,"AB11 8BR",36,331196,9199.88,8477.74
AB,"AB11 8BS",20,148773,7438.65,6981.96
AB,"AB11 8BT",30,217461,7248.7,6560.25
AB,"AB11 8BU",18,180931,10051.71,7897.14
AB,"AB11 8BX",29,308908,10652,8868.67
AB,"AB11 8BY",9,172084,19120.4,22147.14
AB,"AB11 8DA",35,423861,12110.32,11498.53
AB,"AB11 8DB",19,227871,11993.21,12615.75
AB,"AB11 8DD",7,130999,18714.11,20477.32
AB,"AB11 8DE",7,127084,18154.79,17417.99
AB,"AB11 8DF",8,50932,6366.47,6325.95
AB,"AB11 8DG",15,269677,17978.47,13915.17
AB,"AB11 8DH",22,338480,15385.45,15612.52
AB,"AB11 8DJ",23,275030,11957.83,8641.42
AB,"AB11 8DL",27,312622,11578.59,11098.1
AB,"AB11 8DN",15,151750,10116.67,9989.89
AB,"AB11 8DP",31,288356,9301.79,7426.09
AB,"AB11 8DQ",22,144492,6567.83,6118.67
AB,"AB11 8DR",26,262368,10091.09,8714.5
AB,"AB11 8DS",34,181694,5343.93,4905.94
AB,"AB11 8DT",36,498576,13849.33,12289.9
AB,"AB11 8DX",30,273301,9110.02,8107.64
AB,"AB11 8DY",30,329937,10997.91,9084.38
AB,"AB11 8EA",37,505789,13669.97,13656.89
AB,"AB11 8EB",15,181380,12092.02,9696.57
AB,"AB11 8ED",37,664280,17953.51,15101.46
AB,"AB11 8EE",19,407894,21468.08,20310.14
AB,"AB11 8EH",38,500440,13169.48,12484.11
AB,"AB11 8EJ",20,315641,15782.05,13342.54
AB,"AB11 8EL",15,256097,17073.15,16805.32
